image_id,caption_gt,score_siglip_gt,caption_modified,score_siglip_modified,caption_blip,score_siglip_blip,attribute_input,attribute_output,score_cider_blip,attribute_pair,diff,correct_prediction,sensitivity_score,delta_score,rsd,misrank,delta_s
285,The large brown bear has a black nose.,0.15688791871070862,The large yellow bear has a black nose.,0.12547649443149567,a brown bear sitting in the grass,0.13421449065208435,brown,yellow,1.0673901380681245,brown → yellow,0.03141142427921295,True,0.03141142427921295,0.03141142427921295,0.20021569880810025,0,0.03141142427921295
632,"Bedroom scene with a bookcase, blue comforter and window.",0.1726112961769104,"Bedroom scene with a bookcase, yellow comforter and window.",0.13441377878189087,a bedroom with a bed and a window,0.1418103575706482,blue,yellow,0.09729627383764688,blue → yellow,0.03819751739501953,True,0.03819751739501953,0.03819751739501953,0.22129210683795952,0,0.03819751739501953
776,Three stuffed bears hugging and sitting on a blue pillow,0.17346425354480743,Three stuffed bears hugging and sitting on a gray pillow,0.15734991431236267,a brown teddy bear,0.0705256313085556,blue,gray,0.0011541601779700525,blue → gray,0.016114339232444763,True,0.016114339232444763,0.016114339232444763,0.09289717566093396,0,0.016114339232444763
785,A woman in a red jacket skiing down a slope,0.1714729368686676,A woman in a black jacket skiing down a slope,0.14489272236824036,a woman in a red jacket skiing down a hill,0.1826389729976654,red,black,6.906426485035152,red → black,0.026580214500427246,True,0.026580214500427246,0.026580214500427246,0.15501113461878377,0,0.026580214500427246
802,A white oven and a white refrigerator are in the kitchen.,0.11476543545722961,A yellow oven and a white refrigerator are in the kitchen.,0.1046442985534668,a kitchen with a white refrigerator and a white stove,0.14455199241638184,white,yellow,1.606148556493201,white → yellow,0.010121136903762817,True,0.010121136903762817,0.010121136903762817,0.08818976605142345,0,0.010121136903762817
885,a male tennis player in white shorts is playing tennis,0.1276826709508896,a male tennis player in brown shorts is playing tennis,0.11765525490045547,a man playing tennis,0.08383520692586899,white,brown,1.16919203508679,white → brown,0.010027416050434113,True,0.010027416050434113,0.010027416050434113,0.07853388385249979,0,0.010027416050434113
1268,The woman is taking a photo of the white goose next to the river.,0.16333051025867462,The woman is taking a photo of the green goose next to the river.,0.16763091087341309,a woman taking a picture of a swan,0.13441196084022522,white,green,0.545656240425499,white → green,-0.004300400614738464,False,-0.004300400614738464,-0.004300400614738464,-0.02632943843699323,1,-0.004300400614738464
1296,A woman in white shirt holding up a cellphone.,0.10062259435653687,A woman in yellow shirt holding up a cellphone.,0.07651714235544205,a woman holding a cell phone,0.08862875401973724,white,yellow,0.5153260173038375,white → yellow,0.024105452001094818,True,0.024105452001094818,0.024105452001094818,0.23956301420416345,0,0.024105452001094818
1353,some children are riding on a mini orange train,0.15824715793132782,some children are riding on a mini orange train,0.15824715793132782,a group of people riding on a red train,0.12260676920413971,None,None,1.3241490766809472,None → None,0.0,False,0.0,0.0,0.0,0,0.0
1490,"Black and white of a person wearing a wetsuit standing on a surfboard and holding out a paddle, in a large body of water outside.",0.1880747377872467,"red and white of a person wearing a wetsuit standing on a surfboard and holding out a paddle, in a large body of water outside.",0.1466786414384842,a man on a surfboard,0.08841781318187714,black,red,0.005853262087793777,black → red,0.04139609634876251,True,0.04139609634876251,0.04139609634876251,0.2201045011988291,0,0.04139609634876251
1503,Two apple computers are on a white desk,0.1757461428642273,Two apple computers are on a brown desk,0.13905814290046692,a white desk,0.07942807674407959,white,brown,2.1484343474980068,white → brown,0.036687999963760376,True,0.036687999963760376,0.036687999963760376,0.20875564815157108,0,0.036687999963760376
1584,"The red, double decker bus is driving past other buses. ",0.15311335027217865,The green double decker bus is driving past other buses. ,0.11030513048171997,a red double decker bus driving down a street,0.15698611736297607,red,green,2.0397797911323443,red → green,0.04280821979045868,True,0.04280821979045868,0.04280821979045868,0.2795851551439608,0,0.04280821979045868
1675,A black fluffy cat sitting on top of a computer keyboard.,0.18281865119934082,A green fluffy cat sitting on top of a computer keyboard.,0.16104799509048462,a black and white cat sitting on a computer,0.16429083049297333,black,green,2.528421480613323,black → green,0.0217706561088562,True,0.0217706561088562,0.0217706561088562,0.11908334278824774,0,0.0217706561088562
1761,Two airplanes flying in the sky above a black bridge.,0.1497318297624588,Two airplanes flying in the sky above a white bridge.,0.13686338067054749,a bridge over the water,0.061288684606552124,black,white,0.05067387667613346,black → white,0.012868449091911316,True,0.012868449091911316,0.012868449091911316,0.08594331019881606,0,0.012868449091911316
2149,A large white bowl of many green apples. ,0.14441125094890594,A large black bowl of many green apples. ,0.15488824248313904,a bowl of green apples sitting on a table,0.15432724356651306,white,black,0.9561638600456024,white → black,-0.010476991534233093,False,-0.010476991534233093,-0.010476991534233093,-0.07254969031422594,1,-0.010476991534233093
2157,A plate of finger foods next to a blue and raspberry topped cake.,0.13493666052818298,A plate of finger foods next to a yellow and raspberry topped cake.,0.11533792316913605,a red table cloth,0.06537602841854095,blue,yellow,0.0004430703089458694,blue → yellow,0.019598737359046936,True,0.019598737359046936,0.019598737359046936,0.14524397804370984,0,0.019598737359046936
2261,A man on a blue raft attempting to catch a ride on a large wave.,0.1204218789935112,A man on a black raft attempting to catch a ride on a large wave.,0.11255834251642227,a man in the water,0.07761591672897339,blue,black,0.040949195681954556,blue → black,0.007863536477088928,True,0.007863536477088928,0.007863536477088928,0.06529989851356369,0,0.007863536477088928
2299,Many small children are posing together in the black and white photo. ,0.10858837515115738,Many small children are posing together in the brown and white photo. ,0.08378425240516663,a group of children,0.06600352376699448,black,brown,0.3250425560586645,black → brown,0.024804122745990753,True,0.024804122745990753,0.024804122745990753,0.22842337139185365,0,0.024804122745990753
2532,A person on skis and with poles in the snow and facing the blue sky.,0.17051583528518677,A person on skis and with poles in the snow and facing the brown sky.,0.1502307504415512,a person on skis on a snowy slope,0.13058491051197052,blue,brown,0.8300676020948072,blue → brown,0.02028508484363556,True,0.02028508484363556,0.02028508484363556,0.11896305589277893,0,0.02028508484363556
2592,a white mug  showing pirate skull and bones and a large knife on a counter top.,0.21349704265594482,a yellow mug  showing pirate skull and bones and a large knife on a counter top.,0.17968881130218506,a knife and a mug on a table,0.13285601139068604,white,yellow,0.524714267585785,white → yellow,0.033808231353759766,True,0.033808231353759766,0.033808231353759766,0.15835456516483215,0,0.033808231353759766
3156,A man fixing a toilet in a black and white photo.,0.20081429183483124,A man fixing a toilet in a brown and white photo.,0.16971783339977264,a man sitting on a toilet,0.07902605831623077,black,brown,0.9708915405020682,black → brown,0.031096458435058594,True,0.031096458435058594,0.031096458435058594,0.15485181931490852,0,0.031096458435058594
3501,"Looking down at a bowl of white rice, broccoli and a vegetable dish",0.11201449483633041,"Looking down at a bowl of brown rice, broccoli and a vegetable dish",0.10110849142074585,a bowl of rice and broccote,0.0787620022892952,white,brown,0.5607826064628634,white → brown,0.010906003415584564,True,0.010906003415584564,0.010906003415584564,0.09736243002764805,0,0.010906003415584564
3845,A dinner plate that has white steamed rice with stir fry vegetables and chicken.,0.14420288801193237,A dinner plate that has brown steamed rice with stir fry vegetables and chicken.,0.1371546983718872,a plate of food on a table,0.0708262249827385,white,brown,0.102835396065212,white → brown,0.007048189640045166,True,0.007048189640045166,0.007048189640045166,0.04887689655329198,0,0.007048189640045166
3934,A little girl holding a white Nintendo Wii game controller.,0.10114049166440964,A little girl holding a blue Nintendo Wii game controller.,0.05271245539188385,a woman and a child playing with a remote,0.05870819464325905,white,blue,0.0012005786689722718,white → blue,0.04842803627252579,True,0.04842803627252579,0.04842803627252579,0.4788194666208761,0,0.04842803627252579
